"acceptedScientificName","V2","isMarine","isFreshwater","isTerrestrial","isBrackish"
"Todiramphus gertrudae Murphy, 1924","Catalogue of Life Checklist",NA,NA,1,NA
"Ptilinopus huttoni Finsch, 1874","Catalogue of Life Checklist",NA,NA,1,NA
"Asymphorodes albicoma Clarke, 1986","GBIF Backbone Taxonomy",NA,NA,1,NA
"Dichelopa hadrotes Clarke, 1986","Catalogue of Life Checklist",NA,NA,1,NA
"Campiglossa media (Malloch, 1938)","Catalogue of Life Checklist",NA,NA,1,NA
"Asymphorodes porphyrarcha Meyrick, 1929","Catalogue of Life Checklist",NA,NA,1,NA
"Idioblasta stenogramma Clarke, 1986","Catalogue of Life Checklist",NA,NA,1,NA
"Asymphorodes lucidus Clarke, 1986","GBIF Backbone Taxonomy",NA,NA,1,NA
"Ernophthora aphanoptera Clarke, 1986","GBIF Backbone Taxonomy",NA,NA,1,NA
"Stathmopoda argyrosticha Clarke, 1971","Catalogue of Life Checklist",NA,NA,1,NA
"Otopheidomenis treati (Prasad, 1968)","The Interim Register of Marine and Nonmarine Genera",NA,NA,1,NA
"Acicnemis crassiuscula L.Fairmaire, 1878","GBIF Backbone Taxonomy",NA,NA,1,NA
"Melania tahitensis Dunker, 1866","World Register of Marine Species",NA,1,NA,NA
"Spodoptera litura (Fabricius, 1775)","Catalogue of Life Checklist",NA,NA,1,NA
"Phelsuma laticauda (Boettger, 1880)","Catalogue of Life Checklist",NA,NA,1,NA
"Monomorium floricola (Jerdon, 1851)","Catalogue of Life Checklist",NA,NA,1,NA
"Pomarea mira Murphy & Mathews, 1928","Catalogue of Life Checklist",NA,NA,1,NA
"Coccinella transversalis Fabricus, 1781","GBIF Backbone Taxonomy",NA,NA,1,NA
"Graeffea crouanii (Le Guillou, 1841)","Catalogue of Life Checklist",NA,NA,1,NA
"Ptilinopus chrysogaster G.R.Gray, 1854","GBIF Backbone Taxonomy",NA,NA,1,NA
"Trioza vitiensis Kirkaldy, 1907","Catalogue of Life Checklist",NA,NA,1,NA
"Asymphorodes cuneatus Clarke, 1986","GBIF Backbone Taxonomy",NA,NA,1,NA
"Iressa neoleuca Clarke, 1971","Catalogue of Life Checklist",NA,NA,1,NA
"Erechthias celestra (Clarke, 1986)","Catalogue of Life Checklist",NA,NA,1,NA
"Dichelopa argyrospiloides Clarke, 1971","Catalogue of Life Checklist",NA,NA,1,NA
"Mastophorus muris (Gmelin, 1790)","The Interim Register of Marine and Nonmarine Genera",NA,NA,1,NA
"Dichelopa gnoma Clarke, 1986","Catalogue of Life Checklist",NA,NA,1,NA
"Asymphorodes canicoma Clarke, 1986","Catalogue of Life Checklist",NA,NA,1,NA
"Erechthias tritogramma (Clarke, 1986)","Catalogue of Life Checklist",NA,NA,1,NA
"Imma gloriana Clarke, 1986","GBIF Backbone Taxonomy",NA,NA,1,NA
"Erechthias melanospila (Clarke, 1971)","Catalogue of Life Checklist",NA,NA,1,NA
"Erechthias pandani (Clarke, 1971)","Catalogue of Life Checklist",NA,NA,1,NA
"Idioblasta amydrosoma Clarke, 1986","GBIF Backbone Taxonomy",NA,NA,1,NA
"Gracillaria verina Clarke, 1971","Catalogue of Life Checklist",NA,NA,1,NA
"Bradina stricta Clarke, 1986","Catalogue of Life Checklist",NA,NA,1,NA
"Asymphorodes fractura Clarke, 1986","GBIF Backbone Taxonomy",NA,NA,1,NA
"Ischnocerithium rostratum (Sowerby, 1855)","GBIF Backbone Taxonomy",1,NA,NA,NA
"Limnophora nigridorsata Malloch, 1929","Catalogue of Life Checklist",NA,NA,1,NA
"Asymphorodes diffidentia Clarke, 1986","GBIF Backbone Taxonomy",NA,NA,1,NA
"Syntomoza tahuata (Klyver, 1932)","Catalogue of Life Checklist",NA,NA,1,NA
"Batrachedra monophthalma Clarke, 1971","Catalogue of Life Checklist",NA,NA,1,NA
"Asymphorodes diamphidius Clarke, 1986","Catalogue of Life Checklist",NA,NA,1,NA
